,titles,sentence,class
0,Flow Festival,"Flow Festival (commonly known simply as Flow) is an urban music and arts festival in Helsinki, Finland.",0
1,Psychedelic pop,Psychedelic filmPsychedelic pop (or acid pop) is pop music that contains musical characteristics associated with psychedelic music.,0
2,Indie rock,"Indie rock is a subgenre of rock music that originated in the United Kingdom, United States and New Zealand in the early to mid-1980s.",0
3,Neo-psychedelia,"Psychedelic filmNeo-psychedelia is a diverse genre of psychedelic music that draws inspiration from the sounds of 1960s psychedelia, either updating or copying the approaches from that era.",0
4,Modular Recordings,Modular Recordings (known simply as Modular) is an Australian record label founded in 1998 by Steve Pavlovic that is currently owned by Universal Music Australia.,0
5,Interscope Records,"Interscope Records is an American record label based in Santa Monica, California, owned by Universal Music Group through its Interscope Geffen A&M imprint.",0
6,Fiction Records,"Fiction Records is a British record label founded by Chris Parry in 1978, owned by Universal Music Group and based in the United Kingdom.",0
7,Island Records Australia,"Island Records Australia is an Australian record label that was launched in 2007 by Michael Taylor (now serving as managing director, Universal Music Australia).",0
8,Pond (Australian band),"Pond are an Australian psychedelic rock band from Perth, Western Australia, formed in 2008.",1
9,Kevin Parker (musician),"Kevin Richard Parker (born 20 January 1986) is an Australian singer, songwriter, musician, record producer, and DJ, best known for his musical project Tame Impala, for which he writes, performs, records, and produces the music.",1
10,Jay Watson,"Jay Watson is an Australian multi-instrumentalist, producer, singer and songwriter.",1
11,Cam Avery,"Cameron Avery (born 21 April 1988) is an Australian multi-instrumentalist, musician, singer and songwriter.",1
12,Nick Allbrook,"Nicholas Allbrook (born 23 November 1987) is an Australian psychedelic rock musician, singer, and songwriter.",1
13,Innerspeaker,"Innerspeaker is the debut studio album by Australian musical project Tame Impala, released on 21 May 2010 by Modular Recordings.",0
14,Lonerism,"Lonerism is the second studio album by Australian musical project Tame Impala, released on 5 October 2012 by Modular Recordings.",0
15,Grammy Awards,"The Grammy Awards (stylized as GRAMMY), or simply known as the Grammys, are awards presented by the Recording Academy of the United States to recognize ""outstanding"" achievements in the music industry.",0
16,Currents (Tame Impala album),Currents is the third studio album by Australian musical project Tame Impala.,0
17,ARIA Music Awards,"GelaStrugglerThe Australian Recording Industry Association Music Awards (commonly known informally as ARIA Music Awards, ARIA Awards, or simply the ARIAs) is an annual series of awards nights celebrating the Australian music industry, put on by the Australian Recording Industry Association (ARIA).",0
18,ARIA Award for Best Rock Album,"The ARIA Music Award for Best Rock Album, is an award presented at the annual ARIA Music Awards, which recognises ""the many achievements of Aussie artists across all music genres"", since 1987.",0
19,ARIA Award for Album of the Year,"The ARIA Music Award for Album of the Year, is an award presented at the annual ARIA Music Awards, which recognises ""the many achievements of Aussie artists across all music genres"", since 1987.",0
20,APRA Awards (Australia),"The APRA Music Awards in Australia are annual awards to celebrate excellence in contemporary music, which honour the skills of member composers, songwriters, and publishers who have achieved outstanding success in sales and airplay performance.Several award ceremonies are run in Australia by the Australasian Performing Right Association (APRA) and Australasian Mechanical Copyright Owners Society (AMCOS).",0
21,Let It Happen,"""Let It Happen"" is a song by the Australian rock artist Tame Impala.",0
22,The Slow Rush,"The Slow Rush is the fourth studio album by Australian musical project Tame Impala, released on 14 February 2020.",0
23,2020 ARIA Music Awards,"The 2020 ARIA Music Awards are the 34th Annual Australian Recording Industry Association Music Awards (generally known as ARIA Music Awards or simply The ARIAs) and consist of a series of awards, including the 2020 ARIA Artisan Awards, ARIA Hall of Fame Awards, ARIA Fine Arts Awards and the ARIA Awards.",0
24,Myspace,Myspace (formerly stylized as MySpace) is a social networking service based in the United States.,0
25,V Festival (Australia),"The Australian V Festival was an Australian music festival, and a spin-off of the British V Festival.",0
26,Tame Impala (EP),"Tame Impala is the second extended play (EP) by Australian musical project Tame Impala, released on 11 October 2008 by Modular Recordings.",0
27,Australian Independent Record Labels Association,"The Australian Independent Record Labels Association (commonly known as AIR), formerly Association of Independent Record Labels, is a non-profit trade association which supports the growth and development of Australia's independent recording industry.",0
28,ARIA Charts,"The ARIA Charts are the main Australian music sales charts, issued weekly by the Australian Recording Industry Association.",0
29,Half Full Glass of Wine,"""Half Full Glass of Wine"" is a song by Tame Impala, released in 2008 on their self-titled second EP.",0
30,Triple J,"Triple J is a government-funded, national Australian radio station that began broadcasting in 1975 as a division of the Australian Broadcasting Corporation (ABC).",0
31,You Am I,"You Am I are an Australian power pop band, fronted by its lead singer-songwriter and guitarist, Tim Rogers.",1
32,The Black Keys,"The Black Keys are an American rock duo formed in Akron, Ohio, in 2001.",1
33,Yeasayer,"Yeasayer (/ˈjeɪseɪ.ər/) was an American experimental rock band from Brooklyn, New York, formed in 2006.",1
34,MGMT,"MGMT (/ɛm-dʒi-ɛm-tiː/) is an American neo-psychedelic rock band formed in 2002 in Middletown, Connecticut.",1
35,Southbound (festival),"Southbound was an arts, camping and music festival.",0
36,Falls Festival,"Falls Music & Arts Festival (commonly known as Falls) is a multi-day music festival held annually in Byron Bay (New South Wales) and Fremantle (Western Australia), Australia over the New Year's Eve and January period.",0
37,"Triple J Hottest 100, 2008","The 2008 Triple J Hottest 100 was announced on Australia Day, 26 January 2009.",0
38,Sundown Syndrome,"""Sundown Syndrome"" is a song by Tame Impala, released as a single in 2009.",0
39,Richard Kingsmill,Richard Kingsmill is an Australian radio announcer and music journalist.,0
40,Remember Me (Blue Boy song),"""Remember Me"" is a 1997 song by British DJ Alexis 'Lex' Blackmore under his pseudonym Blue Boy, released as a single only.",0
